person,person_label,genders,dobs,countries,continents,hasMiddleName,hasNoLastName,person_label_norm,hasDifficultName,difficult_reason,surName,lastName,iso_country
http://www.wikidata.org/entity/Q101109531,Ami Rodríguez,male,1994-05-18T00:00:00Z,Colombia,South America,False,False,Ami Rodríguez,True,non_ascii,Ami,Rodríguez,CO
http://www.wikidata.org/entity/Q101110680,Richar Nelson Sierra Alquerque,male,1983-01-01T00:00:00Z,Colombia,South America,True,False,Richar Nelson Sierra Alquerque,True,middleName,,,CO
http://www.wikidata.org/entity/Q101112638,Cristóbal Arteaga Rozas,male,1979-01-01T00:00:00Z,Chile,South America,True,False,Cristóbal Arteaga Rozas,True,middleName|non_ascii,,,CL
http://www.wikidata.org/entity/Q101112683,Flavio Tenius,male,1964-05-08T00:00:00Z,Brazil,South America,False,False,Flavio Tenius,False,,Flavio,Tenius,BR
http://www.wikidata.org/entity/Q101115670,Gianluca Petecof,male,2002-11-14T00:00:00Z,Brazil,South America,False,False,Gianluca Petecof,False,,Gianluca,Petecof,BR
http://www.wikidata.org/entity/Q101116019,Léo de Almeida Neves,male,1932-03-22T00:00:00Z,Brazil,South America,True,False,Léo de Almeida Neves,True,middleName|non_ascii,,,BR
http://www.wikidata.org/entity/Q101116053,Pedro Medeiros,male,1946-12-24T00:00:00Z,Brazil,South America,False,False,Pedro Medeiros,False,,Pedro,Medeiros,BR
http://www.wikidata.org/entity/Q101116086,Alexander Concha,male,1999-06-07T00:00:00Z,Chile,South America,False,False,Alexander Concha,False,,Alexander,Concha,CL
http://www.wikidata.org/entity/Q101116087,Matías Contreras,male,1998-08-06T00:00:00Z,Chile,South America,False,False,Matías Contreras,True,non_ascii,Matías,Contreras,CL
http://www.wikidata.org/entity/Q101129365,Braian Aguirre,male,2000-07-28T00:00:00Z,Argentina,South America,False,False,Braian Aguirre,False,,Braian,Aguirre,AR
http://www.wikidata.org/entity/Q101129805,Dorival Souza Barreto Júnior,male,1964-04-10T00:00:00Z,Brazil,South America,True,False,Dorival Souza Barreto Júnior,True,middleName|non_ascii,,,BR
http://www.wikidata.org/entity/Q101130047,Valter Magno de Carvalho,male,1973-02-22T00:00:00Z,Brazil,South America,True,False,Valter Magno de Carvalho,True,middleName,,,BR
http://www.wikidata.org/entity/Q101130402,Armando Rubén Becerra Flores,male,1950-05-05T00:00:00Z,Peru,South America,True,False,Armando Rubén Becerra Flores,True,middleName|non_ascii,,,PE
http://www.wikidata.org/entity/Q101130523,Adolfo Aurelio Gaffoglio,male,1933-10-22T00:00:00Z,Argentina,South America,True,False,Adolfo Aurelio Gaffoglio,True,middleName,,,AR
http://www.wikidata.org/entity/Q101130532,Lío Pecoraro,male,1975-09-06T00:00:00Z,Argentina,South America,False,False,Lío Pecoraro,True,non_ascii,Lío,Pecoraro,AR
http://www.wikidata.org/entity/Q101130542,Aldo Armando Cocca,male,1924-09-04T00:00:00Z,Argentina,South America,True,False,Aldo Armando Cocca,True,middleName,,,AR
http://www.wikidata.org/entity/Q101130621,Roberto Rimoldi Fraga,male,1944-11-11T00:00:00Z,Argentina,South America,True,False,Roberto Rimoldi Fraga,True,middleName,,,AR
http://www.wikidata.org/entity/Q101130634,Roberto Moldavski,male,1962-09-10T00:00:00Z,Argentina,South America,False,False,Roberto Moldavski,False,,Roberto,Moldavski,AR
http://www.wikidata.org/entity/Q101130643,Roger Guerra-García,male,1933-04-02T00:00:00Z,Peru,South America,False,False,Roger Guerra-García,True,hyphen|non_ascii,Roger,Guerra-García,PE
http://www.wikidata.org/entity/Q101130645,Rubén Zini,male,1942-07-09T00:00:00Z,Argentina,South America,False,False,Rubén Zini,True,non_ascii,Rubén,Zini,AR
http://www.wikidata.org/entity/Q101130648,Vicente Walde Jáuregui,male,1949-11-28T00:00:00Z,Peru,South America,True,False,Vicente Walde Jáuregui,True,middleName|non_ascii,,,PE
http://www.wikidata.org/entity/Q101130651,Carlos Malpica Silva Santisteban,male,1929-10-26T00:00:00Z,Peru,South America,True,False,Carlos Malpica Silva Santisteban,True,middleName,,,PE
http://www.wikidata.org/entity/Q101132565,Lautaro Morales,male,1999-12-16T00:00:00Z,Argentina,South America,False,False,Lautaro Morales,False,,Lautaro,Morales,AR
http://www.wikidata.org/entity/Q101146495,Javier Cadena,male,1901-01-01T00:00:00Z,Ecuador,South America,False,False,Javier Cadena,False,,Javier,Cadena,EC
http://www.wikidata.org/entity/Q101150681,Rajendre Khargi,male,1955-01-01T00:00:00Z,Suriname,South America,False,False,Rajendre Khargi,False,,Rajendre,Khargi,SR
http://www.wikidata.org/entity/Q101178602,Valentín Larralde,male,2000-11-15T00:00:00Z,Argentina,South America,False,False,Valentín Larralde,True,non_ascii,Valentín,Larralde,AR
http://www.wikidata.org/entity/Q101184262,Fabián Gerardo Castillo Suárez,male,1968-11-04T00:00:00Z,Colombia,South America,True,False,Fabián Gerardo Castillo Suárez,True,middleName|non_ascii,,,CO
http://www.wikidata.org/entity/Q1011888,Gonzalo Cardozo,male,1987-01-10T00:00:00Z,Paraguay,South America,False,False,Gonzalo Cardozo,False,,Gonzalo,Cardozo,PY
http://www.wikidata.org/entity/Q101195972,Guido Ratto,male,1999-06-08T00:00:00Z,Argentina,South America,False,False,Guido Ratto,False,,Guido,Ratto,AR
http://www.wikidata.org/entity/Q101200422,Naoyuki Fernandez,male,1988-09-03T00:00:00Z,Colombia,South America,False,False,Naoyuki Fernandez,False,,Naoyuki,Fernandez,CO
