,fullName,firstName,lastName,gender,isoCountry,continent,birthYear,hasMiddleName,hasNoLastName,source
209,Gcina Nkosi,Gcina,Nkosi,female,ZA,Africa,1992,False,False,wikidata
210,Lara Sousa,Lara,Sousa,female,MZ,Africa,1991,False,False,wikidata
211,Sanaâ Mssoudy,,,female,MA,Africa,1999,False,False,wikidata
212,Jihan al-Mosli,,,female,,Africa,1908,False,False,wikidata
213,Rosebell Kagumire,Rosebell,Kagumire,female,UG,Africa,1983,False,False,wikidata
214,Francesca Emanuel,Francesca,Emanuel,female,NG,Africa,1933,False,False,wikidata
215,Saida Hagi-Dirie Herzi,,,female,SO,Africa,1950,True,False,wikidata
216,Rifkatu Adamu Chidawa,,,female,NG,Africa,1956,True,False,wikidata
217,Lorcia Cooper,Lorcia,Cooper,female,ZA,Africa,1978,False,False,wikidata
218,Dorothy Akpene Amenuke,,,female,GH,Africa,1968,True,False,wikidata
219,Obianuju Ekeocha,Obianuju,Ekeocha,female,NG,Africa,1979,False,False,wikidata
220,Priscilla Kuye,Priscilla,Kuye,female,NG,Africa,1940,False,False,wikidata
221,Arinola Fatimah Lawal,,,female,NG,Africa,1969,True,False,wikidata
222,Hadja Mariama Sow,,,female,GN,Africa,1942,True,False,wikidata
223,Sinatu Ojikutu,Sinatu,Ojikutu,female,NG,Africa,1946,False,False,wikidata
224,Nabila Philip Atalla Seif,,,female,EG,Africa,1951,True,False,wikidata
225,Titilayo Laoye-Tomori,,,female,NG,Africa,1948,False,False,wikidata
226,Blessing Nsiegbe,Blessing,Nsiegbe,female,NG,Africa,1965,False,False,wikidata
227,Rajae Aboulaich,Rajae,Aboulaich,female,MA,Africa,1957,False,False,wikidata
228,Gloria Sengha Panda Shala,,,female,,Africa,1993,True,False,wikidata
229,Alouf Jirari,Alouf,Jirari,female,MA,Africa,1965,False,False,wikidata
230,Néfertiti Magahed,,,female,EG,Africa,1953,False,False,wikidata
231,Miriam Onuoha,Miriam,Onuoha,female,NG,Africa,1965,False,False,wikidata
232,Rahila Hadea Cudjoe,,,female,NG,Africa,1948,True,False,wikidata
233,Odile Sankara,Odile,Sankara,female,BF,Africa,1963,False,False,wikidata
234,Blessing Onuh,Blessing,Onuh,female,NG,Africa,1976,False,False,wikidata
235,Lee Visagie,Lee,Visagie,female,ZA,Africa,1992,False,False,wikidata
236,Khanya Mkangisa,Khanya,Mkangisa,female,ZA,Africa,1988,False,False,wikidata
237,Soso Rungqu,Soso,Rungqu,female,ZA,Africa,1983,False,False,wikidata
238,Michelle Beling,Michelle,Beling,female,ZA,Africa,1988,False,False,wikidata
239,Phatiah,,,female,NG,Africa,2008,False,True,wikidata
240,Tolulope Akande-Sadipe,,,female,NG,Africa,1966,False,False,wikidata
241,Ogunlola Olubunmi,Ogunlola,Olubunmi,female,NG,Africa,1965,False,False,wikidata
242,Farida Arman,Farida,Arman,female,EG,Africa,1938,False,False,wikidata
243,Hanan al-Barassi,,,female,LY,Africa,1973,False,False,wikidata
244,Chantelle Gray van Heerden,,,female,ZA,Africa,2000,True,False,wikidata
245,Ishtar Lakhani,Ishtar,Lakhani,female,ZA,Africa,1985,False,False,wikidata
246,Uyaiedu Ikpe-Etim,,,female,NG,Africa,1989,False,False,wikidata
247,Ubah Ali,Ubah,Ali,female,,Africa,1996,False,False,wikidata
248,Gifty Eugenia Kwofie,,,female,GH,Africa,1958,True,False,wikidata
249,Habiba El Bouazzaoui,,,female,MA,Africa,1946,True,False,wikidata
250,Fanja Rakotondrajao,Fanja,Rakotondrajao,female,MG,Africa,1969,False,False,wikidata
251,Melissa Reddy,Melissa,Reddy,female,ZA,Africa,1986,False,False,wikidata
252,Aïssata Moumouni,,,female,NG,Africa,1939,False,False,wikidata
253,Nadeen Ashraf,Nadeen,Ashraf,female,EG,Africa,1998,False,False,wikidata
254,Jemimah Kariuki,Jemimah,Kariuki,female,KE,Africa,2000,False,False,wikidata
255,Michaella Russell,Michaella,Russell,female,ZA,Africa,1992,False,False,wikidata
256,Khtek,,,female,MA,Africa,1995,False,True,wikidata
257,Douce Namwezi N'Ibamba,,,female,,Africa,1989,True,False,wikidata
258,Gosette Lubondo,Gosette,Lubondo,female,,Africa,1993,False,False,wikidata
259,Rébecca Walo Omana,,,female,,Africa,1951,True,False,wikidata
260,Malaika Uwamahoro,Malaika,Uwamahoro,female,RW,Africa,1990,False,False,wikidata
261,Maryem Amkadni,Maryem,Amkadni,female,MA,Africa,1975,False,False,wikidata
262,Hasnaa Zidani,Hasnaa,Zidani,female,MA,Africa,1971,False,False,wikidata
263,Judy Ditchfield,Judy,Ditchfield,female,ZA,Africa,1963,False,False,wikidata
264,Noluthando Meje,Noluthando,Meje,female,ZA,Africa,1986,False,False,wikidata
265,Lynne McCarthy,Lynne,McCarthy,female,ZA,Africa,1983,False,False,wikidata
266,Keria Ibrahim,Keria,Ibrahim,female,ET,Africa,1973,False,False,wikidata
267,Charlotte Ntamack,Charlotte,Ntamack,female,CM,Africa,1979,False,False,wikidata
268,Fikile Mthwalo,Fikile,Mthwalo,female,LS,Africa,1989,False,False,wikidata
269,Mary Anne Barlow,,,female,ZA,Africa,1973,True,False,wikidata
270,Isma Kaddouri,Isma,Kaddouri,female,DZ,Africa,1987,False,False,wikidata
271,Edith Nzuruike,Edith,Nzuruike,female,NG,Africa,1995,False,False,wikidata
272,Ratiba Derfoul,Ratiba,Derfoul,female,DZ,Africa,1983,False,False,wikidata
273,Dominique Donner,Dominique,Donner,female,ZA,Africa,1971,False,False,wikidata
