index,fullName,namePassed,correctGender,predictedGender,localization,useLocalization,serviceUsed,extraPreciseGenderPredicted
326,Elsa Garrido,Elsa,female,female,ST,False,genderGuesser,female
327,Faouzia Mebarki,Faouzia,female,unknown,DZ,False,genderGuesser,unknown
328,Eldevina Materula,Eldevina,female,unknown,MZ,False,genderGuesser,unknown
329,Victoria Bright,Victoria,female,female,GH,False,genderGuesser,female
330,Bertha Kingori,Bertha,female,female,TZ,False,genderGuesser,female
331,Jane Raphaely,Jane,female,female,ZA,False,genderGuesser,female
332,Marcelle Kuetche,Marcelle,female,female,CM,False,genderGuesser,female
333,Agness Gidna,Agness,female,unknown,TZ,False,genderGuesser,unknown
334,Paula Simons,Paula,female,female,AO,False,genderGuesser,female
335,Jean-Paul Mpila,Jean-Paul,female,male,CG,False,genderGuesser,male
336,Rosamund Everard-Steenkamp,Rosamund,female,female,ZA,False,genderGuesser,female
337,Heline Eweni,Heline,female,unknown,CM,False,genderGuesser,unknown
338,Catherina Paulin,Catherina,female,female,SC,False,genderGuesser,female
339,Catherine Kang,Catherine,female,female,CF,False,genderGuesser,female
340,Regina Twala,Regina,female,female,ZA,False,genderGuesser,female
341,Catherine Namugala,Catherine,female,female,ZM,False,genderGuesser,female
342,Jeanette Traverso,Jeanette,female,female,ZA,False,genderGuesser,female
343,Hasna Tamtaoui,Hasna,female,female,MA,False,genderGuesser,female
344,Emilia Asim-Ita,Emilia,female,female,NG,False,genderGuesser,female
345,Sukri Bommagowda,Sukri,female,unknown,IN,False,genderGuesser,unknown
346,Cynthia Patag,Cynthia,female,female,PH,False,genderGuesser,female
347,Qian Xijun,Qian,female,unknown,CN,False,genderGuesser,andy
348,Qiu Yihan,Qiu,female,unknown,CN,False,genderGuesser,andy
349,Sai Na,Sai,female,unknown,CN,False,genderGuesser,andy
350,Yeom Seungsuk,Yeom,female,unknown,KR,False,genderGuesser,unknown
351,Marina Rosenberg,Marina,female,female,IL,False,genderGuesser,female
352,Wang Henei,Wang,female,unknown,CN,False,genderGuesser,andy
353,Wang Quanyuan,Wang,female,unknown,CN,False,genderGuesser,andy
354,Wang Yingchun,Wang,female,unknown,CN,False,genderGuesser,andy
355,Wu Fulian,Wu,female,unknown,CN,False,genderGuesser,andy
356,Xiao Yuehua,Xiao,female,unknown,CN,False,genderGuesser,andy
357,Melika Ahadi,Melika,female,female,IR,False,genderGuesser,female
358,Su Pei-ling,Su,female,unknown,TW,False,genderGuesser,andy
359,Yang Houzhen,Yang,female,unknown,CN,False,genderGuesser,andy
360,Yang Huizen,Yang,female,unknown,CN,False,genderGuesser,andy
361,Zhang Guiqin,Zhang,female,unknown,CN,False,genderGuesser,andy
362,Zhong Yuzheng,Zhong,female,unknown,CN,False,genderGuesser,andy
363,Alexandra Kalev,Alexandra,female,female,IL,False,genderGuesser,female
364,Vijay Atluri,Vijay,female,,IN,False,genderGuesser,mostly_male
365,Kamala Balakrishnan,Kamala,female,female,IN,False,genderGuesser,female
366,Nada Boustani,Nada,female,female,LB,False,genderGuesser,female
367,Irit Ben-Abba,Irit,female,female,IL,False,genderGuesser,female
368,Shakuntala Bhagat,Shakuntala,female,female,IN,False,genderGuesser,female
