,Unnamed: 0,person,person_label,genders,dobs,countries,continents,hasMiddleName,hasProblematicName,hasNoLastName,person_label_norm,hasDifficultName,difficult_reason
102,102.0,http://www.wikidata.org/entity/Q100778452,Geneviève Boko Nadjo,female,1956-12-26T00:00:00Z,Benin,Africa,True,False,False,Geneviève Boko Nadjo,True,non_ascii
103,103.0,http://www.wikidata.org/entity/Q100787162,Vivian Ewalefo,female,1985-05-09T00:00:00Z,Nigeria,Africa,False,False,False,Vivian Ewalefo,False,
104,104.0,http://www.wikidata.org/entity/Q100791874,Shudufhadzo Musida,female,1996-07-18T00:00:00Z,South Africa,Africa,False,False,False,Shudufhadzo Musida,False,
105,105.0,http://www.wikidata.org/entity/Q100873289,Catarina Taborda,female,1989-01-01T00:00:00Z,Guinea-Bissau,Africa,False,False,False,Catarina Taborda,False,
106,106.0,http://www.wikidata.org/entity/Q100921652,Noga Treves,female,1901-01-01T00:00:00Z,Ottoman Empire,Africa,False,False,False,Noga Treves,False,
107,107.0,http://www.wikidata.org/entity/Q100933765,Fatou Baldeh,female,1983-01-01T00:00:00Z,The Gambia,Africa,False,False,False,Fatou Baldeh,False,
108,108.0,http://www.wikidata.org/entity/Q100961556,Fatima Chiguer,female,1948-01-01T00:00:00Z,Morocco,Africa,False,False,False,Fatima Chiguer,False,
109,109.0,http://www.wikidata.org/entity/Q100966395,Denise Fernandes,female,1990-01-01T00:00:00Z,Cape Verde,Africa,False,False,False,Denise Fernandes,False,
110,110.0,http://www.wikidata.org/entity/Q100975176,Agatha Cilliers,female,1969-03-14T00:00:00Z,South Africa,Africa,False,False,False,Agatha Cilliers,False,
111,111.0,http://www.wikidata.org/entity/Q100998577,Alemu Megertu,female,1997-10-12T00:00:00Z,Ethiopia,Africa,False,False,False,Alemu Megertu,False,
112,112.0,http://www.wikidata.org/entity/Q100998660,Rahma Tusa,female,1993-09-14T00:00:00Z,Ethiopia,Africa,False,False,False,Rahma Tusa,False,
113,113.0,http://www.wikidata.org/entity/Q101012111,Phumzile Sitole,female,1989-11-18T00:00:00Z,South Africa,Africa,False,False,False,Phumzile Sitole,False,
